Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
Marshall,106.512,106.975,0.487526,51.9,52.0,15.9,20.8,22.9,32.3,74.41,2019,-6.20949
Eastern Michigan,102.408,102.602,0.494547,48.5,50.8,20.8,20.1,34.3,34.9,62.9185,2019,-7.92498
Niagara,102.392,115.547,0.199406,49.2,53.4,17.3,16.2,27.1,26.2,69.735,2019,-15.315
Campbell,107.947,109.77,0.452018,52.8,54.6,14.8,19.5,23.7,28.9,65.5999,2019,-7.247
Mercer,102.971,106.123,0.414167,51.0,52.7,19.3,20.1,28.8,32.3,66.7583,2019,-12.0048
Savannah St.,95.722,117.891,0.0835078,48.0,53.8,19.9,19.3,28.0,34.6,76.1867,2019,-14.8705
Oregon St.,111.409,104.747,0.67019,52.2,50.2,18.3,17.6,30.8,29.0,65.5767,2019,-3.75197
Lipscomb,111.24,99.0895,0.790867,54.8,48.4,17.8,19.6,26.0,23.8,72.925,2019,-0.284488
Kennesaw St.,92.1712,109.892,0.116889,40.9,53.7,19.0,17.1,29.2,30.8,68.068,2019,-18.3679
James Madison,101.137,111.084,0.253718,50.2,52.9,18.8,16.4,30.1,29.4,65.0893,2019,-13.9039
Georgetown,108.559,102.467,0.660198,51.0,50.2,17.9,16.3,29.1,26.2,72.131,2019,-2.34566
USC Upstate,93.7094,112.304,0.110892,47.4,53.1,19.9,18.2,24.7,31.3,67.9516,2019,-20.6329
Morgan St.,92.9725,112.212,0.103124,43.7,53.4,17.9,23.9,31.8,35.2,72.1977,2019,-17.1816
New Hampshire,84.8136,106.964,0.0648646,44.0,51.5,18.4,16.9,21.5,24.7,65.7479,2019,-20.0171
Iowa St.,119.127,97.8065,0.906171,54.7,48.4,16.3,18.8,28.3,30.1,67.5084,2019,4.29093
Vermont,108.155,98.9613,0.73529,52.6,48.7,16.8,19.1,27.3,22.2,65.3346,2019,-0.75192
Purdue,123.491,95.5733,0.950127,53.6,49.0,15.8,18.6,34.5,27.0,65.5378,2019,6.10481
Drake,107.262,102.218,0.635039,53.3,48.7,19.1,16.8,24.3,26.0,69.0036,2019,-2.6612
Marquette,112.575,97.0421,0.846509,53.5,46.3,19.4,16.6,29.4,26.1,68.9478,2019,2.80518
Holy Cross,100.707,107.413,0.32271,52.7,53.8,16.1,22.1,20.6,32.9,63.6697,2019,-10.9943
Houston,116.591,91.6222,0.941114,52.1,42.5,16.5,18.2,34.4,26.0,65.7298,2019,7.93268
Hampton,107.29,108.786,0.460279,48.9,50.8,14.6,16.3,28.1,26.6,71.0396,2019,-11.2134
Western Michigan,99.262,106.037,0.318805,48.0,52.1,21.7,15.2,29.7,27.6,69.1108,2019,-14.9773
New Mexico St.,112.859,99.187,0.815328,54.1,48.9,17.9,19.2,37.2,22.5,65.6028,2019,1.63332
Ball St.,101.545,98.7309,0.580096,51.8,47.3,20.2,17.9,27.5,28.6,70.1042,2019,-8.39796
Milwaukee,99.6358,108.438,0.274182,48.1,51.7,18.0,15.3,26.7,28.3,66.1505,2019,-15.9177
Portland,94.687,109.146,0.163244,47.3,51.8,19.9,16.3,20.3,30.1,66.8078,2019,-17.6871
Albany,99.0101,107.636,0.276746,49.3,52.1,20.9,18.5,27.3,28.3,65.9685,2019,-15.4822
San Francisco,112.121,102.522,0.736758,53.5,48.9,15.1,17.2,28.9,25.0,66.2978,2019,-2.48181
Bucknell,105.125,104.457,0.518339,53.0,49.2,17.3,16.6,25.8,27.6,70.6169,2019,-5.25179
Connecticut,108.779,102.124,0.673925,51.0,49.6,18.5,20.0,32.3,30.2,68.8987,2019,-5.63924
Florida Gulf Coast,100.952,105.78,0.368817,52.6,52.1,21.2,19.2,25.6,30.8,68.3476,2019,-10.9573
San Jose St.,93.7732,113.56,0.0995951,46.0,56.1,21.9,15.4,27.4,28.7,69.301,2019,-20.1241
Utah Valley,108.109,103.532,0.621888,55.6,49.1,20.2,16.5,28.0,26.6,68.295,2019,-2.07956
Missouri,108.063,96.284,0.790391,50.5,49.4,21.0,18.1,31.9,25.7,64.5009,2019,-3.05826
Cincinnati,113.15,94.9749,0.882227,49.0,48.6,16.0,20.9,37.4,29.3,63.5164,2019,5.90916
South Dakota St.,112.399,105.14,0.683037,58.5,50.2,16.3,15.6,23.9,22.7,70.8203,2019,-3.25342
Boston University,104.551,110.397,0.348493,53.4,54.6,18.8,18.2,28.6,25.1,66.4554,2019,-12.7965
Air Force,100.769,107.082,0.332067,51.3,53.6,19.3,17.8,23.2,24.1,66.1484,2019,-10.59
Texas Tech,115.935,86.4197,0.967037,53.5,43.0,17.7,22.8,27.4,28.7,65.8887,2019,7.00931
Bradley,102.13,101.537,0.516741,49.7,47.6,18.8,18.4,26.7,26.7,64.9463,2019,-7.61549
Troy,101.828,109.124,0.310916,51.0,52.7,19.9,17.1,27.2,31.1,66.971,2019,-11.5489
Gonzaga,124.362,91.0071,0.973168,59.0,44.2,14.9,19.0,31.5,26.8,70.349,2019,7.15027
South Florida,102.729,96.4638,0.673414,49.1,48.4,22.6,21.9,36.3,26.8,67.0807,2019,-4.33996
Army,96.9255,102.971,0.332746,49.6,53.3,16.5,18.7,21.6,22.9,69.8504,2019,-13.7222
Loyola MD,101.595,110.301,0.2798,51.6,55.6,19.5,20.6,27.8,29.5,68.809,2019,-14.8334
Belmont,115.917,102.03,0.812675,57.6,48.7,15.2,16.0,25.3,25.0,70.9426,2019,1.37304
Siena,101.447,107.794,0.332275,51.5,52.6,15.6,18.0,23.6,28.5,60.5631,2019,-11.6297
Southern Utah,97.1452,105.353,0.282369,50.2,50.4,18.9,16.9,23.2,24.7,70.4304,2019,-11.7705
N.C. State,113.219,98.6574,0.82966,52.0,49.4,17.3,21.5,36.0,28.8,71.3356,2019,1.91106
Pittsburgh,104.179,99.3678,0.632688,47.9,47.7,19.6,21.3,32.1,32.8,67.2303,2019,-6.26179
Montana,107.339,104.14,0.586121,56.1,50.1,17.3,19.2,27.4,24.9,66.3155,2019,-3.01025
Massachusetts,103.687,109.618,0.345307,51.1,51.2,20.2,16.8,31.5,27.1,67.6358,2019,-13.6238
Mount St. Mary's,95.8256,109.653,0.17507,47.9,52.1,19.0,17.8,25.1,31.5,67.3278,2019,-16.7022
Bryant,99.6439,115.355,0.1566,49.0,54.9,18.4,18.6,26.6,30.2,67.9174,2019,-16.0807
Syracuse,111.28,95.3841,0.854785,49.6,48.1,18.5,23.1,30.2,33.4,65.8516,2019,0.50883
Jacksonville St.,104.715,100.438,0.617647,50.5,48.7,18.8,20.4,33.0,25.6,67.4938,2019,-3.02883
McNeese St.,97.4563,114.489,0.135593,49.8,54.2,21.3,17.7,29.7,31.9,65.8619,2019,-17.2202
Quinnipiac,105.839,112.63,0.328454,52.8,50.7,19.4,15.7,29.8,29.3,66.6995,2019,-10.6398
Rhode Island,104.512,100.885,0.600171,47.4,48.7,17.8,20.2,31.3,27.9,67.5347,2019,-6.54163
Detroit Mercy,106.699,113.006,0.34065,49.7,54.4,16.3,19.8,29.3,36.4,68.7489,2019,-12.0307
Radford,108.317,105.433,0.576975,52.8,51.9,16.4,18.1,29.7,24.9,64.3378,2019,-4.20891
East Tennessee St.,109.194,103.075,0.659989,54.6,52.6,20.0,20.5,37.0,23.9,66.9549,2019,-1.30849
Duquesne,104.822,105.46,0.482571,49.9,49.9,19.8,21.6,31.9,35.1,69.664,2019,-6.49684
Virginia Tech,118.629,94.538,0.931532,55.6,49.0,17.3,21.6,29.6,27.2,63.6757,2019,5.00679
VCU,105.573,88.6879,0.881234,50.1,43.5,20.0,23.4,31.0,30.6,68.3419,2019,1.36264
North Dakota St.,107.7,109.975,0.440177,53.5,53.6,15.7,14.4,20.7,25.9,64.9377,2019,-8.39957
Northwestern St.,90.1135,110.31,0.0890234,44.7,51.2,22.7,19.5,28.9,34.7,68.2848,2019,-14.7373
Fairfield,97.0227,105.984,0.265827,50.7,52.6,20.7,21.4,26.1,28.9,67.9404,2019,-17.5707
Arkansas,110.102,97.8779,0.794686,51.0,49.4,18.3,22.5,28.3,34.8,70.3494,2019,-2.23135
Cal St. Bakersfield,102.478,108.169,0.34941,46.6,51.3,19.0,20.1,37.9,29.6,64.8721,2019,-8.5717
George Washington,96.4267,105.568,0.26085,45.8,51.2,18.2,17.1,23.4,28.5,67.4747,2019,-15.5667
UNC Asheville,94.1411,116.988,0.0759536,46.2,55.7,23.5,18.2,27.7,37.1,62.4463,2019,-20.6235
Dayton,112.03,99.9464,0.787932,56.1,47.9,18.8,16.8,26.9,27.4,64.7044,2019,-2.12871
Stephen F. Austin,95.6297,109.726,0.170608,48.4,52.6,20.5,21.5,29.1,32.9,68.4257,2019,-11.7663
Arkansas St.,103.444,109.835,0.334178,47.2,51.6,19.4,17.1,33.7,29.8,67.9917,2019,-12.3636
Southeast Missouri St.,97.5625,111.273,0.180618,50.4,52.7,20.2,17.4,25.6,28.3,67.6378,2019,-15.2278
Binghamton,97.0919,113.202,0.146113,49.5,52.3,18.5,16.7,20.9,31.7,65.8272,2019,-17.1944
George Mason,103.782,104.883,0.469705,50.1,50.2,18.9,18.2,29.0,27.2,67.868,2019,-6.59029
Old Dominion,100.217,95.6538,0.630852,47.1,45.6,17.8,18.5,32.1,24.8,64.6037,2019,-1.57316
Green Bay,104.612,105.885,0.465265,51.5,52.1,17.2,18.8,26.4,31.4,73.2529,2019,-8.21528
UNC Greensboro,105.443,99.1329,0.670316,51.2,51.0,17.1,22.2,31.4,29.7,67.4503,2019,2.07364
Little Rock,99.2863,105.21,0.339304,54.4,52.3,22.6,19.4,24.3,27.2,70.2865,2019,-14.698
Austin Peay,111.427,106.651,0.623347,52.9,52.5,16.6,20.8,32.3,30.0,68.8407,2019,-4.73947
