Season,TeamA,TeamB,Predicted_Winner,Prob_Team_A_Wins,Prob_Team_B_Wins,AdjOE_diff,AdjDE_diff,EFG%_diff,EFGD%_diff,TOR_diff,TORD_diff,ORB_diff,DRB_diff,ADJ T_diff,WAB_diff
2026,Siena,South Florida,South Florida,0.06600504585235754,0.9339949541476424,-9.570000000000007,7.527000000000001,-0.29999999999999716,0.20000000000000284,0.8000000000000007,-1.6999999999999993,-6.300000000000004,-2.8000000000000007,-6.771100000000004,-7.522431999999999
2026,Siena,UCLA,UCLA,0.019073340631042577,0.9809266593689574,-17.351,7.125,-3.299999999999997,-1.7999999999999972,2.5999999999999996,-1.0,0.7999999999999972,-3.3999999999999986,-0.05730000000001212,-11.39321
2026,Siena,UCF,UCF,0.10741098208407404,0.8925890179159259,-12.793000000000006,3.2190000000000083,-2.1999999999999957,-3.799999999999997,0.3000000000000007,1.3000000000000007,-2.5,0.5,-4.4857000000000085,-9.8987
2026,Siena,Vanderbilt,Vanderbilt,0.013089408164644845,0.9869105918353551,-20.269000000000005,9.549199999999999,-4.699999999999996,-0.19999999999999574,2.6999999999999993,-0.7999999999999972,0.6999999999999993,-2.6000000000000014,-4.351400000000012,-15.07851
2026,Siena,Troy,Troy,0.32935901329714373,0.6706409867028562,-3.478999999999999,-0.10899999999999466,-1.2999999999999972,-1.5,-1.0,0.20000000000000284,-2.8999999999999986,-2.6000000000000014,-0.453700000000012,-1.62756
2026,Siena,VCU,VCU,0.07731533092010534,0.9226846690798947,-12.079000000000008,5.867000000000004,-3.5,-0.29999999999999716,0.8000000000000007,-0.09999999999999787,-0.3999999999999986,-0.8999999999999986,-4.050600000000003,-9.48997
2026,Siena,Texas A&M,Texas A&M,0.0364336330294909,0.9635663669705091,-12.653000000000006,7.480000000000004,-3.6000000000000014,-2.1999999999999957,1.4000000000000004,-1.1999999999999993,-0.3999999999999986,-3.5,-6.3855000000000075,-9.37342
2026,Siena,Villanova,Villanova,0.035971332795378126,0.9640286672046219,-12.391999999999996,8.366,-3.1000000000000014,-2.6999999999999957,0.9000000000000004,-1.5999999999999979,-0.5,-2.6999999999999993,-0.3160000000000025,-11.72077
2026,Siena,Utah St.,Utah St.,0.03937430998719914,0.9606256900128008,-15.820999999999998,6.818000000000012,-6.0,-1.0,0.5999999999999996,-3.5,-1.2000000000000028,-3.200000000000003,-2.923300000000012,-11.770669999999999
2026,Siena,Wisconsin,Wisconsin,0.017225148395802903,0.9827748516041971,-19.979,7.26400000000001,-3.8999999999999986,-2.6999999999999957,3.1999999999999993,2.700000000000001,2.5,0.8000000000000007,-4.063600000000008,-13.15511
2026,Siena,Texas,Texas,0.055026549072253,0.944973450927747,-16.823000000000008,2.5130000000000052,-3.6000000000000014,-2.6000000000000014,0.6999999999999993,3.700000000000001,-3.8000000000000043,2.1000000000000014,-2.4682999999999993,-7.567779
2026,Siena,Texas Tech,Texas Tech,0.009886541940085676,0.9901134580599144,-19.099000000000004,10.0963,-5.600000000000001,-0.7999999999999972,0.09999999999999964,2.400000000000002,-1.3999999999999986,-1.1000000000000014,-1.7777999999999992,-12.8349
2026,Siena,Tennessee,Tennessee,0.013720064742802542,0.9862799352571975,-14.287000000000006,13.391600000000011,-1.0,0.8999999999999986,-1.1000000000000014,0.8000000000000007,-13.200000000000003,1.1000000000000014,-0.5944000000000074,-11.89451
2026,Siena,Virginia,Virginia,0.020111636106376507,0.9798883638936235,-15.052000000000007,13.06920000000001,-4.0,3.3000000000000043,0.0,1.5000000000000018,-6.0,-0.1999999999999993,-0.9472000000000094,-15.541409999999999
2026,Siena,Wright St.,Wright St.,0.27319773764787686,0.7268022623521231,-5.1569999999999965,-0.11299999999999955,-3.799999999999997,-3.5,-0.3000000000000007,0.6000000000000014,-1.3000000000000043,-0.1999999999999993,-2.346500000000006,-1.2099899999999995
2026,Siena,Tennessee St.,Siena,0.7114073636501346,0.28859263634986543,-0.5880000000000081,-2.9499999999999886,0.5,-2.6000000000000014,-0.5,-2.8999999999999986,-3.0,-0.8999999999999986,-5.506200000000007,-2.12277
2026,Ohio St.,Siena,Ohio St.,0.9819328220527206,0.01806717794727941,18.004999999999995,-7.322000000000003,5.899999999999999,1.6999999999999957,-0.5999999999999996,-1.3000000000000007,-1.0999999999999979,1.0,1.5311000000000092,10.668949999999999
2026,Ohio St.,TCU,Ohio St.,0.8173194099086936,0.18268059009130644,10.35799999999999,1.9446000000000083,5.600000000000001,-0.7000000000000028,-0.09999999999999964,-3.8999999999999986,-3.599999999999998,0.8000000000000007,-1.4180999999999955,0.5167600000000001
2026,Ohio St.,St. John's,Ohio St.,0.5098870503390209,0.49011294966097907,5.4069999999999965,7.493800000000007,5.5,2.8999999999999986,0.7000000000000011,-3.599999999999998,-5.099999999999998,-0.1999999999999993,-3.442300000000003,-4.37132
2026,Ohio St.,South Florida,Ohio St.,0.7934234688768788,0.20657653112312124,8.434999999999988,0.2049999999999983,5.600000000000001,1.8999999999999986,0.20000000000000107,-3.0,-7.400000000000002,-1.8000000000000007,-5.239999999999995,3.146518
2026,Ohio St.,UCLA,Ohio St.,0.5138014590755504,0.4861985409244496,0.6539999999999964,-0.19700000000000273,2.6000000000000014,-0.10000000000000142,2.0,-2.3000000000000007,-0.3000000000000007,-2.3999999999999986,1.4737999999999971,-0.7242600000000001
2026,Ohio St.,UCF,Ohio St.,0.8673768805470048,0.1326231194529952,5.211999999999989,-4.102999999999994,3.700000000000003,-2.1000000000000014,-0.29999999999999893,0.0,-3.599999999999998,1.5,-2.9545999999999992,0.7702499999999999
2026,Ohio St.,Prairie View A&M,Ohio St.,0.9904950888333692,0.00950491116663077,23.756,-9.772999999999996,8.600000000000001,-0.10000000000000142,-0.5999999999999996,-3.3000000000000007,3.6999999999999993,-4.799999999999997,-4.707499999999996,15.449110000000001
2026,Ohio St.,Vanderbilt,Vanderbilt,0.41888552258453626,0.5811144774154637,-2.26400000000001,2.2271999999999963,1.2000000000000028,1.5,2.0999999999999996,-2.099999999999998,-0.3999999999999986,-1.6000000000000014,-2.820300000000003,-4.40956
2026,Ohio St.,Troy,Ohio St.,0.9638876701053752,0.03611232989462476,14.525999999999996,-7.430999999999997,4.600000000000001,0.19999999999999574,-1.5999999999999996,-1.0999999999999979,-3.9999999999999964,-1.6000000000000014,1.0773999999999972,9.04139
2026,Ohio St.,VCU,Ohio St.,0.8199532378230641,0.18004676217693594,5.925999999999988,-1.4549999999999983,2.3999999999999986,1.3999999999999986,0.20000000000000107,-1.3999999999999986,-1.4999999999999964,0.10000000000000142,-2.5194999999999936,1.17898
2026,Ohio St.,Penn,Ohio St.,0.9597743854935192,0.04022561450648077,18.651999999999987,-3.8059999999999974,6.200000000000003,-1.4000000000000057,0.0,-2.0,0.5,-0.5,-2.862799999999993,8.89672
2026,Ohio St.,Saint Mary's,Ohio St.,0.7202929442856464,0.2797070557143536,5.844999999999999,4.039900000000003,3.6000000000000014,3.5999999999999943,-0.9999999999999982,0.6000000000000014,-6.800000000000001,6.199999999999999,0.8594000000000079,-1.1182299999999996
2026,Ohio St.,Texas A&M,Ohio St.,0.6726679989775373,0.32733200102246274,5.35199999999999,0.15800000000000125,2.299999999999997,-0.5,0.8000000000000007,-2.5,-1.4999999999999964,-2.5,-4.854399999999998,1.29553
2026,Ohio St.,Villanova,Ohio St.,0.6697439595651054,0.33025604043489465,5.6129999999999995,1.043999999999997,2.799999999999997,-1.0,0.3000000000000007,-2.8999999999999986,-1.5999999999999979,-1.6999999999999993,1.2151000000000067,-1.0518200000000002
2026,Ohio St.,Utah St.,Ohio St.,0.6901786675003981,0.30982133249960186,2.1839999999999975,-0.5039999999999907,-0.10000000000000142,0.6999999999999957,0.0,-4.800000000000001,-2.3000000000000007,-2.200000000000003,-1.3922000000000025,-1.1017200000000003
2026,Ohio St.,Wisconsin,Wisconsin,0.48785647797169274,0.5121435220283073,-1.9740000000000038,-0.057999999999992724,2.0,-1.0,2.5999999999999996,1.4000000000000004,1.4000000000000021,1.8000000000000007,-2.532499999999999,-2.48616
2026,Ohio St.,Texas,Ohio St.,0.7598915307567219,0.2401084692432781,1.181999999999988,-4.8089999999999975,2.299999999999997,-0.9000000000000057,0.09999999999999964,2.4000000000000004,-4.900000000000002,3.1000000000000014,-0.93719999999999,3.101171
