Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB
Georgia Southern,100.179,99.289,0.525643,47.3,46.2,18.3,22.0,32.6,32.2,63.1419,-4.28381
Northern Arizona,102.375,103.55,0.467255,46.1,48.6,17.7,16.7,35.3,26.8,64.6177,-8.30704
Nebraska,100.255,95.5624,0.634423,46.2,46.8,19.4,20.6,26.7,30.3,63.0345,-5.38069
Yale,106.085,99.0903,0.686631,49.9,47.6,20.4,19.0,34.2,27.8,61.9148,-2.65386
Tennessee Martin,108.48,108.705,0.494029,53.4,50.8,18.6,15.4,30.0,25.8,61.8927,-6.54401
Morehead St.,104.505,102.714,0.549556,49.3,49.1,20.1,21.2,34.7,28.2,65.0969,-10.2874
Tennessee,109.216,103.421,0.651799,48.2,51.9,19.7,22.6,37.0,33.3,60.1984,-3.36378
Texas St.,93.9054,98.3732,0.369462,44.0,47.6,19.9,23.1,29.0,31.8,61.1086,-11.4914
Jackson St.,90.8857,103.851,0.177465,42.9,48.6,21.9,22.7,37.7,28.1,63.5913,-16.6264
Mississippi,113.66,101.43,0.787382,47.8,47.6,16.5,18.7,34.8,31.4,65.938,-0.55375
Wyoming,104.319,100.066,0.617431,52.2,47.0,18.8,17.9,22.0,27.0,58.585,-1.34771
Minnesota,112.99,99.9313,0.804144,52.1,50.8,17.7,24.2,30.0,33.4,67.4746,-2.45838
Illinois,108.786,96.6931,0.794974,47.6,48.0,15.2,19.7,30.2,28.0,64.9833,-0.66226
LIU,97.3119,106.494,0.261738,44.9,48.4,19.6,18.2,31.3,31.0,66.8499,0.0
UTEP,106.782,99.8094,0.68493,52.0,46.9,18.8,18.7,29.1,29.8,64.386,-3.48314
Loyola Chicago,105.947,103.238,0.573934,53.3,49.2,21.0,20.2,28.7,32.1,60.7499,-4.52101
Texas,112.146,93.6412,0.888328,49.1,42.1,20.1,14.0,37.9,28.6,62.1763,0.773671
Maryland Eastern Shore,102.931,108.612,0.350288,51.7,51.1,23.4,21.3,35.5,31.9,64.3291,-8.45347
Western Illinois,91.4059,108.643,0.120603,45.3,50.7,18.3,16.7,20.0,28.9,66.3527,-15.1358
Fairleigh Dickinson,97.1928,113.067,0.149338,46.5,52.3,18.6,23.2,27.6,40.4,66.8769,-16.1958
Cornell,95.9489,100.167,0.378765,44.6,45.7,19.0,19.3,23.1,30.0,64.5844,-10.9185
West Virginia,111.945,95.5384,0.860865,46.1,52.7,18.7,28.0,40.1,31.1,67.9887,3.94818
Oklahoma,112.99,90.7304,0.925749,49.3,44.1,17.6,19.7,31.5,31.4,66.8912,4.24923
Southern Illinois,99.8953,102.413,0.428923,45.7,51.4,20.8,21.3,31.4,26.2,62.1991,-12.9795
San Diego St.,105.002,89.5506,0.861821,46.6,43.5,18.6,21.1,35.7,29.7,60.6221,1.51136
Nebraska Omaha,102.405,109.726,0.311299,49.3,53.3,18.3,20.3,30.5,28.9,73.5574,-12.5338
DePaul,108.905,106.179,0.572365,50.7,50.8,19.8,18.8,27.4,35.5,67.0814,-7.44309
UT Rio Grande Valley,93.6878,112.841,0.105348,44.7,50.5,20.9,19.0,30.4,36.6,63.7926,-16.0236
Chicago St.,89.8166,107.57,0.11162,42.3,52.8,23.5,22.3,33.6,33.3,62.8692,-17.4178
South Dakota,103.202,108.239,0.366327,47.1,51.0,16.7,17.5,31.0,27.0,65.2683,-10.3788
Montana St.,96.7122,109.58,0.192086,46.9,53.0,20.6,17.0,29.1,28.2,65.5557,-17.5908
Oklahoma St.,112.276,97.861,0.829242,50.2,46.5,18.5,21.1,26.9,32.6,63.4205,0.0452569
Wagner,98.3383,112.182,0.180258,44.6,53.4,20.1,19.8,37.2,30.3,66.9733,-15.0418
Bethune Cookman,92.5014,111.199,0.107448,44.2,48.2,22.7,20.9,34.4,34.1,60.0025,-17.9385
Wofford,104.737,98.8259,0.661074,51.1,47.0,17.2,20.0,29.4,27.7,60.6067,0.471083
Cal Poly,103.314,102.037,0.535698,44.1,49.3,14.8,17.3,31.9,28.2,58.6105,-8.75129
Towson,100.769,108.938,0.289787,44.6,47.6,21.5,14.9,41.1,29.5,60.2621,-14.1816
Delaware St.,101.579,111.673,0.251707,47.7,48.8,19.7,16.4,31.8,31.8,66.8204,-10.4136
Norfolk St.,104.416,109.055,0.377549,52.1,48.1,20.7,18.0,34.3,30.4,64.4799,-7.42953
Vermont,102.931,99.5105,0.595944,51.9,43.4,20.1,20.1,26.7,29.0,64.1298,-8.74526
Liberty,91.834,110.829,0.103205,46.0,50.2,24.5,18.1,30.6,32.5,65.5388,-20.2113
UNC Wilmington,102.576,101.753,0.523123,47.5,47.9,18.0,20.4,31.0,32.4,67.3207,-6.49262
Presbyterian,96.864,113.174,0.14312,48.4,54.0,20.9,15.9,27.3,33.6,61.834,-16.7895
Michigan,112.645,99.3552,0.809028,49.4,50.9,15.6,19.4,25.5,31.2,59.623,-2.47538
East Carolina,104.015,108.194,0.388651,48.4,50.9,18.0,19.2,28.2,34.7,61.296,-10.5939
Northwestern,107.186,103.057,0.61105,50.4,48.4,18.1,15.5,27.6,30.9,59.9864,-4.24563
Eastern Illinois,99.7963,106.851,0.313137,51.0,48.8,19.0,18.9,23.4,34.3,62.7795,-7.92538
Buffalo,111.016,99.8426,0.772044,48.7,48.5,16.7,19.7,34.5,30.4,68.3311,-0.965488
Northern Kentucky,104.642,110.405,0.350577,51.2,50.6,17.8,16.6,28.5,30.0,63.4484,-11.8615
Valparaiso,106.986,96.4939,0.766211,51.3,45.2,19.0,18.6,34.7,27.4,62.4775,0.395785
Elon,98.3078,106.766,0.279055,47.5,51.3,19.0,21.2,27.9,31.9,67.9171,-12.3174
Appalachian St.,97.883,108.078,0.242428,45.6,50.6,20.6,17.2,31.4,29.8,65.144,-11.4072
Cleveland St.,107.504,102.41,0.636026,51.7,48.8,19.0,21.0,31.9,30.6,60.7776,-6.558
