Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
Rutgers,101.688,99.2211,0.570146,44.7,47.5,19.7,18.9,37.5,30.1,66.502,2017,-5.70158
Nicholls St.,101.313,113.118,0.219687,49.5,55.6,20.4,20.4,26.8,37.6,69.6639,2017,-11.7969
Sacramento St.,100.984,112.265,0.228321,49.8,52.3,16.8,15.8,27.4,29.3,65.5834,2017,-13.6406
William & Mary,112.272,109.588,0.569122,56.2,52.3,17.4,14.5,25.6,27.4,70.6576,2017,-6.68936
Colgate,98.1239,108.399,0.241352,51.4,52.5,22.0,17.3,24.8,25.3,65.166,2017,-16.1294
USC,114.119,101.559,0.792639,52.2,50.1,15.7,17.9,31.0,31.4,68.6965,2017,1.35628
UNLV,98.1932,104.886,0.319019,45.1,51.6,18.0,16.5,28.9,27.5,68.7234,2017,-12.5457
Illinois St.,108.382,93.1652,0.850659,51.4,44.0,18.6,19.0,30.4,28.5,64.807,2017,1.90481
Manhattan,96.7077,107.88,0.221448,47.4,51.6,22.6,20.0,30.8,30.1,69.3594,2017,-15.5773
Utah,113.186,99.6965,0.811439,56.2,49.1,19.2,17.0,30.9,24.5,68.3954,2017,-2.19959
Louisiana Tech,107.402,100.669,0.677977,53.4,48.0,17.7,19.4,29.2,26.2,68.6649,2017,-4.654
Youngstown St.,101.887,113.478,0.224601,49.1,53.0,16.0,16.4,26.3,31.4,71.7651,2017,-15.18
Jacksonville,101.286,112.035,0.23868,53.8,56.6,18.5,20.9,26.3,28.5,67.8694,2017,-11.6541
Tennessee St.,100.149,98.8964,0.536128,48.7,48.5,21.7,21.4,34.2,28.0,67.0997,2017,-7.06694
Stanford,104.782,99.1194,0.654501,48.3,52.7,18.6,20.6,29.6,27.2,68.4946,2017,-5.1885
Longwood,92.0918,118.189,0.0536946,49.3,55.1,21.9,17.4,21.5,34.1,70.4838,2017,-19.4354
Sacred Heart,98.1395,108.946,0.23124,49.5,52.8,22.0,19.5,30.9,27.1,71.3078,2017,-14.9635
Western Kentucky,102.829,107.972,0.363236,50.1,52.3,18.0,15.8,27.3,26.7,66.1213,2017,-10.871
UT Arlington,109.891,101.202,0.720556,52.5,48.9,18.7,20.1,32.6,29.8,70.4984,2017,-0.922686
Fordham,97.4022,99.0748,0.451205,48.4,53.0,19.7,25.6,23.4,31.0,64.4341,2017,-11.6651
Alabama St.,91.1589,114.833,0.065676,44.3,50.3,22.0,18.0,34.5,31.8,68.6447,2017,-19.074
Wichita St.,118.056,93.1935,0.93817,54.2,43.8,16.2,19.3,34.2,24.2,68.6176,2017,4.18457
Oakland,104.814,99.931,0.633825,51.2,46.3,18.4,18.9,29.3,29.1,72.0312,2017,-3.48946
Boise St.,110.008,102.298,0.697546,51.8,48.3,17.9,16.6,27.7,26.5,69.1612,2017,-3.0635
